,SettlementPoint,Year,Month,AveragePrice
178,HB_NORTH,2018,11,31.234888888888918
179,HB_NORTH,2018,12,30.39826612903227
180,HB_NORTH,2019,1,24.33263440860215
181,HB_NORTH,2019,2,20.864955357142883
182,HB_NORTH,2019,3,28.103714670255727
183,HB_NORTH,2019,4,22.99740277777778
184,HB_NORTH,2019,5,23.97888440860211
185,HB_NORTH,2019,6,25.175819444444464
186,HB_NORTH,2019,7,29.781290322580663
187,HB_NORTH,2019,8,126.52185483870967
188,HB_NORTH,2019,9,79.91958333333324
189,HB_NORTH,2019,10,27.995967741935484
190,HB_NORTH,2019,11,23.628611111111105
191,HB_NORTH,2019,12,18.7319892473118
192,HB_SOUTH,2016,1,19.210053763440854
193,HB_SOUTH,2016,2,15.333591954022989
194,HB_SOUTH,2016,3,16.763109017496653
195,HB_SOUTH,2016,4,18.51290277777777
196,HB_SOUTH,2016,5,18.570456989247315
197,HB_SOUTH,2016,6,24.645374999999984
198,HB_SOUTH,2016,7,26.960255376344076
199,HB_SOUTH,2016,8,31.20797043010751
200,HB_SOUTH,2016,9,27.405569444444456
201,HB_SOUTH,2016,10,26.68966397849464
202,HB_SOUTH,2016,11,20.14883333333334
203,HB_SOUTH,2016,12,25.708991935483862
204,HB_SOUTH,2017,1,23.624811827956986
205,HB_SOUTH,2017,2,21.079360119047603
206,HB_SOUTH,2017,3,23.680753701211305
207,HB_SOUTH,2017,4,25.6094027777778
208,HB_SOUTH,2017,5,26.49501344086023
209,HB_SOUTH,2017,6,29.65469444444443
210,HB_SOUTH,2017,7,32.12946236559143
211,HB_SOUTH,2017,8,28.315026881720453
212,HB_SOUTH,2017,9,25.51509722222224
213,HB_SOUTH,2017,10,25.56365591397848
214,HB_SOUTH,2017,11,23.97718055555557
215,HB_SOUTH,2017,12,21.99791666666665
216,HB_SOUTH,2018,1,39.498145161290296
217,HB_SOUTH,2018,2,22.306398809523813
218,HB_SOUTH,2018,3,22.888452220726812
219,HB_SOUTH,2018,4,24.471888888888902
220,HB_SOUTH,2018,5,34.2260752688172
221,HB_SOUTH,2018,6,30.068638888888913
222,HB_SOUTH,2018,7,78.8473790322581
223,HB_SOUTH,2018,8,31.66752688172045
224,HB_SOUTH,2018,9,27.189805555555555
225,HB_SOUTH,2018,10,29.772513440860244
226,HB_SOUTH,2018,11,29.837180555555587
227,HB_SOUTH,2018,12,30.089301075268807
228,HB_SOUTH,2019,1,25.086061827956964
229,HB_SOUTH,2019,2,22.125639880952377
230,HB_SOUTH,2019,3,27.13555854643338
231,HB_SOUTH,2019,4,22.463333333333342
232,HB_SOUTH,2019,5,24.059946236559167
233,HB_SOUTH,2019,6,23.904361111111104
234,HB_SOUTH,2019,7,29.637500000000028
235,HB_SOUTH,2019,8,125.93654569892459
236,HB_SOUTH,2019,9,78.90047222222212
237,HB_SOUTH,2019,10,29.468400537634416
238,HB_SOUTH,2019,11,23.718555555555533
239,HB_SOUTH,2019,12,18.95251344086021
240,HB_WEST,2016,1,19.126559139784952
241,HB_WEST,2016,2,14.988663793103447
242,HB_WEST,2016,3,15.871668909825038
243,HB_WEST,2016,4,16.86274999999999
244,HB_WEST,2016,5,17.337674731182776
245,HB_WEST,2016,6,23.141930555555533
246,HB_WEST,2016,7,26.543561827957014
247,HB_WEST,2016,8,29.786733870967733
248,HB_WEST,2016,9,26.354250000000036
249,HB_WEST,2016,10,24.113938172042996
250,HB_WEST,2016,11,18.778416666666644
251,HB_WEST,2016,12,24.86266129032258
252,HB_WEST,2017,1,21.901720430107524
253,HB_WEST,2017,2,17.616681547619056
254,HB_WEST,2017,3,19.813593539703888
255,HB_WEST,2017,4,19.996097222222236
256,HB_WEST,2017,5,22.166612903225815
257,HB_WEST,2017,6,25.331694444444455
258,HB_WEST,2017,7,30.29364247311829
259,HB_WEST,2017,8,26.817043010752666
260,HB_WEST,2017,9,22.678819444444443
261,HB_WEST,2017,10,21.693830645161306
262,HB_WEST,2017,11,21.00179166666666
263,HB_WEST,2017,12,20.33803763440862
264,HB_WEST,2018,1,36.051639784946275
265,HB_WEST,2018,2,21.087604166666658
266,HB_WEST,2018,3,20.3336204576043
267,HB_WEST,2018,4,17.156625000000005
268,HB_WEST,2018,5,27.692016129032254
269,HB_WEST,2018,6,28.277027777777782
270,HB_WEST,2018,7,78.51755376344079
271,HB_WEST,2018,8,31.560120967741923
272,HB_WEST,2018,9,26.139597222222196
273,HB_WEST,2018,10,28.76133064516124
274,HB_WEST,2018,11,28.715250000000026
275,HB_WEST,2018,12,29.9440053763441
276,HB_WEST,2019,1,23.881545698924697
277,HB_WEST,2019,2,20.491160714285716
278,HB_WEST,2019,3,25.66967698519515
279,HB_WEST,2019,4,19.551875000000013
280,HB_WEST,2019,5,22.70266129032257
281,HB_WEST,2019,6,24.708555555555577
282,HB_WEST,2019,7,29.455470430107532
283,HB_WEST,2019,8,126.31528225806449
284,HB_WEST,2019,9,78.42925000000012
285,HB_WEST,2019,10,24.668131720430107
286,HB_WEST,2019,11,21.66026388888888
287,HB_WEST,2019,12,18.136424731182792
288,LZ_AEN,2016,1,19.324663978494627
289,LZ_AEN,2016,2,15.448290229885073
290,LZ_AEN,2016,3,16.855074024226113
291,LZ_AEN,2016,4,18.25606944444444
292,LZ_AEN,2016,5,18.12490591397849
293,LZ_AEN,2016,6,24.2375138888889
294,LZ_AEN,2016,7,27.976102150537606
295,LZ_AEN,2016,8,30.699516129032325
296,LZ_AEN,2016,9,26.710861111111146
297,LZ_AEN,2016,10,25.622903225806493
298,LZ_AEN,2016,11,19.640041666666637
299,LZ_AEN,2016,12,25.870174731182786
300,LZ_AEN,2017,1,23.40447580645163
301,LZ_AEN,2017,2,20.605327380952374
302,LZ_AEN,2017,3,22.99701211305518
303,LZ_AEN,2017,4,24.118083333333328
304,LZ_AEN,2017,5,25.293844086021508
305,LZ_AEN,2017,6,27.91663888888888
306,LZ_AEN,2017,7,31.40143817204301
307,LZ_AEN,2017,8,27.465618279569895
308,LZ_AEN,2017,9,24.628805555555562
309,LZ_AEN,2017,10,24.01990591397848
310,LZ_AEN,2017,11,23.019444444444446
311,LZ_AEN,2017,12,21.062930107526874
312,LZ_AEN,2018,1,38.83798387096776
313,LZ_AEN,2018,2,21.913883928571398
314,LZ_AEN,2018,3,22.202826379542397
315,LZ_AEN,2018,4,22.18848611111112
316,LZ_AEN,2018,5,33.166169354838736
317,LZ_AEN,2018,6,30.28612499999999
318,LZ_AEN,2018,7,78.95137096774195
319,LZ_AEN,2018,8,31.732137096774153
320,LZ_AEN,2018,9,27.16730555555553
321,LZ_AEN,2018,10,30.310000000000006
322,LZ_AEN,2018,11,30.468083333333325
323,LZ_AEN,2018,12,30.094758064516125
324,LZ_AEN,2019,1,25.107956989247317
325,LZ_AEN,2019,2,21.51380952380956
326,LZ_AEN,2019,3,27.74218034993274
327,LZ_AEN,2019,4,23.270347222222245
328,LZ_AEN,2019,5,24.676236559139774
329,LZ_AEN,2019,6,24.416791666666676
330,LZ_AEN,2019,7,29.709086021505378
331,LZ_AEN,2019,8,126.52692204301066
332,LZ_AEN,2019,9,80.16959722222228
333,LZ_AEN,2019,10,29.280443548387094
334,LZ_AEN,2019,11,24.408013888888913
335,LZ_AEN,2019,12,19.05170698924731
336,LZ_CPS,2016,1,19.3538440860215
337,LZ_CPS,2016,2,15.520014367816108
338,LZ_CPS,2016,3,16.898183041722756
339,LZ_CPS,2016,4,19.069361111111103
340,LZ_CPS,2016,5,18.479865591397857
341,LZ_CPS,2016,6,24.958069444444472
342,LZ_CPS,2016,7,27.967956989247316
343,LZ_CPS,2016,8,31.30657258064518
344,LZ_CPS,2016,9,28.130249999999958
345,LZ_CPS,2016,10,26.250295698924717
